TaxiPassangerPredictionExperiment637835711142796650.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :12.5 	 
cycle : 2 	 Accuracy :20.833333333333336 	 
cycle : 3 	 Accuracy :37.5 	 
cycle : 4 	 Accuracy :54.166666666666664 	 
Cycle: 5 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 6 	 Accuracy :41.66666666666667 	 
cycle : 7 	 Accuracy :54.166666666666664 	 
cycle : 8 	 Accuracy :62.5 	 
Cycle: 9 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 10 	 Accuracy :20.833333333333336 	 
cycle : 11 	 Accuracy :37.5 	 
cycle : 12 	 Accuracy :45.83333333333333 	 
cycle : 13 	 Accuracy :37.5 	 
cycle : 14 	 Accuracy :50 	 
cycle : 15 	 Accuracy :45.83333333333333 	 
cycle : 16 	 Accuracy :50 	 
cycle : 17 	 Accuracy :54.166666666666664 	 
cycle : 18 	 Accuracy :50 	 
cycle : 19 	 Accuracy :58.333333333333336 	 
cycle : 20 	 Accuracy :54.166666666666664 	 
cycle : 21 	 Accuracy :50 	 
Cycle: 22 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 23 	 Accuracy :54.166666666666664 	 
cycle : 24 	 Accuracy :66.66666666666666 	 
cycle : 25 	 Accuracy :50 	 
cycle : 26 	 Accuracy :54.166666666666664 	 
Cycle: 27 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 28 	 Accuracy :45.83333333333333 	 
cycle : 29 	 Accuracy :50 	 
Cycle: 30 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 31 	 Accuracy :54.166666666666664 	 
cycle : 32 	 Accuracy :58.333333333333336 	 
Cycle: 33 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 34 	 Accuracy :54.166666666666664 	 
cycle : 35 	 Accuracy :58.333333333333336 	 
cycle : 36 	 Accuracy :50 	 
Cycle: 37 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 38 	 Saturated Accuracy : 50 	 Number of times repeated 2
cycle : 39 	 Accuracy :54.166666666666664 	 
cycle : 40 	 Accuracy :50 	 
cycle : 41 	 Accuracy :45.83333333333333 	 
cycle : 42 	 Accuracy :50 	 
cycle : 43 	 Accuracy :54.166666666666664 	 
Cycle: 44 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 2
Cycle: 46 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 3
cycle : 47 	 Accuracy :50 	 
cycle : 48 	 Accuracy :62.5 	 
