0000 [42/-1] - 34, 88, 149, 152, 160, 163, 180, 183, 213, 224, 268, 302, 310, 312, 324, 345, 363, 414, 454, 468, 506, 537, 552, 564, 584, 586, 677, 691, 709, 710, 843, 1079, 1092, 1218, 1232, 1245, 1317, 1329, 1397, 1474, 1797, 1937, 
0001 [42/85,7142857142857] - 34, 88, 149, 152, 160, 163, 180, 183, 213, 224, 268, 302, 310, 312, 324, 345, 363, 414, 438, 454, 468, 506, 537, 564, 584, 631, 677, 691, 709, 710, 761, 843, 895, 951, 1079, 1218, 1232, 1245, 1329, 1397, 1797, 1898, 
0002 [43/83,7209302325581] - 34, 88, 146, 149, 152, 160, 163, 180, 183, 213, 222, 224, 268, 302, 310, 312, 324, 345, 454, 468, 506, 537, 584, 677, 691, 709, 710, 761, 843, 895, 951, 1079, 1112, 1218, 1245, 1249, 1329, 1397, 1398, 1454, 1497, 1797, 1898, 
0003 [43/97,6744186046512] - 34, 88, 149, 152, 160, 163, 180, 183, 213, 222, 224, 268, 302, 310, 312, 324, 345, 454, 468, 506, 537, 584, 677, 691, 709, 710, 761, 843, 895, 951, 1079, 1112, 1218, 1245, 1249, 1329, 1397, 1398, 1454, 1497, 1706, 1797, 1898, 
0004 [42/95,3488372093023] - 34, 88, 149, 152, 160, 163, 180, 183, 213, 224, 268, 302, 310, 312, 324, 345, 454, 468, 506, 537, 561, 584, 677, 691, 709, 710, 761, 843, 895, 951, 1079, 1112, 1218, 1245, 1329, 1397, 1398, 1454, 1497, 1706, 1797, 1898, 
0005 [43/0] - 5, 38, 40, 81, 144, 155, 184, 192, 199, 206, 301, 326, 358, 362, 445, 458, 460, 483, 499, 543, 553, 568, 578, 606, 613, 623, 637, 659, 673, 685, 692, 697, 718, 749, 780, 789, 795, 875, 882, 883, 894, 1035, 1062, 
0006 [44/0] - 13, 31, 73, 77, 85, 96, 108, 117, 119, 169, 170, 234, 275, 567, 1260, 1262, 1293, 1300, 1333, 1393, 1415, 1435, 1516, 1589, 1594, 1597, 1619, 1645, 1676, 1737, 1741, 1795, 1823, 1842, 1845, 1852, 1930, 1976, 1984, 1986, 2004, 2010, 2034, 2047, 
0007 [41/0] - 278, 288, 396, 466, 509, 530, 640, 663, 694, 708, 1166, 1174, 1190, 1261, 1305, 1387, 1407, 1413, 1423, 1431, 1449, 1466, 1469, 1481, 1548, 1560, 1586, 1638, 1646, 1648, 1700, 1714, 1728, 1750, 1783, 1798, 1815, 1836, 1838, 1848, 1860, 
0008 [42/0] - 216, 248, 263, 313, 381, 420, 436, 602, 651, 727, 760, 775, 825, 830, 852, 878, 889, 1028, 1089, 1114, 1199, 1219, 1283, 1322, 1331, 1345, 1368, 1372, 1417, 1504, 1507, 1557, 1565, 1566, 1608, 1678, 1906, 1913, 1951, 2000, 2038, 2045, 
0009 [48/0] - 1, 5, 8, 13, 18, 19, 22, 23, 25, 26, 30, 31, 35, 36, 38, 40, 41, 48, 50, 52, 57, 60, 73, 74, 81, 84, 85, 87, 91, 95, 97, 99, 101, 105, 106, 107, 110, 112, 115, 117, 119, 1020, 1023, 1035, 1046, 1054, 1056, 1059, 
0010 [52/50] - 1, 2, 5, 8, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 61, 65, 67, 1020, 1021, 1023, 1032, 1035, 1036, 1039, 1040, 1041, 1059, 1065, 
0011 [52/94,2307692307692] - 1, 2, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 61, 1020, 1021, 1023, 1029, 1032, 1035, 1036, 1039, 1040, 1059, 1065, 
0012 [52/96,1538461538462] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0013 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0014 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0015 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0016 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0017 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0018 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0019 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0020 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0021 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
0022 [52/100] - 1, 2, 4, 5, 8, 9, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 52, 54, 56, 57, 60, 1020, 1021, 1022, 1023, 1029, 1032, 1035, 1036, 1039, 1059, 1065, 
