0000 [43/-1] - 3, 39, 45, 53, 64, 78, 100, 116, 132, 137, 145, 147, 166, 251, 308, 322, 324, 343, 363, 428, 467, 632, 705, 837, 909, 935, 989, 997, 1102, 1169, 1181, 1255, 1347, 1367, 1370, 1381, 1484, 1500, 1546, 1754, 1862, 1887, 1893, 
0001 [42/88,3720930232558] - 3, 39, 45, 53, 64, 78, 100, 116, 132, 137, 145, 147, 166, 251, 308, 322, 327, 343, 363, 428, 467, 618, 632, 705, 837, 909, 935, 989, 997, 1102, 1169, 1181, 1184, 1255, 1277, 1347, 1367, 1370, 1381, 1500, 1546, 1862, 
0002 [42/95,2380952380952] - 3, 39, 45, 53, 64, 78, 100, 116, 132, 137, 145, 147, 166, 251, 308, 322, 327, 343, 363, 364, 375, 467, 618, 632, 705, 837, 909, 935, 989, 997, 1102, 1169, 1181, 1184, 1255, 1347, 1367, 1370, 1381, 1500, 1546, 1862, 
0003 [42/97,6190476190476] - 3, 39, 45, 53, 64, 78, 100, 116, 132, 137, 145, 147, 166, 251, 308, 322, 327, 343, 363, 364, 467, 618, 632, 705, 837, 879, 909, 935, 989, 997, 1102, 1169, 1181, 1184, 1255, 1347, 1367, 1370, 1381, 1500, 1546, 1862, 
0004 [42/0] - 9, 10, 113, 165, 204, 285, 431, 680, 797, 817, 819, 838, 943, 948, 952, 990, 993, 1012, 1039, 1087, 1143, 1243, 1258, 1282, 1299, 1320, 1371, 1406, 1441, 1525, 1536, 1572, 1664, 1696, 1713, 1731, 1734, 1780, 1904, 1931, 1979, 2014, 
0005 [43/0] - 4, 42, 86, 101, 140, 141, 153, 171, 237, 356, 382, 421, 451, 477, 478, 479, 534, 551, 562, 707, 758, 778, 782, 801, 876, 888, 918, 971, 985, 986, 1151, 1164, 1183, 1206, 1229, 1234, 1271, 1325, 1353, 1403, 1405, 1410, 2009, 
0006 [43/0] - 58, 92, 121, 127, 286, 412, 433, 446, 533, 565, 566, 601, 614, 672, 675, 696, 702, 720, 721, 751, 786, 787, 788, 804, 836, 1147, 1446, 1518, 1524, 1558, 1583, 1592, 1632, 1641, 1689, 1704, 1766, 1799, 1820, 1863, 1922, 1957, 2042, 
0007 [42/0] - 179, 191, 644, 683, 1029, 1100, 1165, 1221, 1244, 1290, 1294, 1350, 1364, 1378, 1486, 1505, 1508, 1587, 1598, 1703, 1705, 1710, 1733, 1772, 1793, 1796, 1833, 1837, 1877, 1886, 1889, 1909, 1926, 1948, 1950, 1971, 1990, 1997, 2013, 2016, 2024, 2035, 
0008 [45/0] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0009 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0010 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0011 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0012 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0013 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0014 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0015 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0016 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0017 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0018 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0019 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0020 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0021 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
0022 [45/100] - 2, 4, 10, 15, 19, 29, 33, 42, 55, 65, 79, 86, 101, 107, 113, 124, 125, 135, 140, 141, 143, 153, 154, 155, 165, 171, 185, 204, 211, 228, 237, 238, 256, 276, 286, 290, 306, 326, 329, 334, 339, 1039, 1040, 1164, 1183, 
