D=1/M=246 |325.8278 |424.8705 |507.2165 |572.093 |595.6417 |592.7711 |659.5175 |629.156 |565.5172 |629.156 |535.9477 |449.7258 |453.8745 |470.3633 |574.7664 |568.1293 |645.6693 |454.7135 |595.6417 |642.2977
D=1/M=1305 |1719.368 |2330.357 |1998.469 |2055.118 |2403.315 |2326.203 |1761.134 |2326.203 |2448.405 |2297.535 |2211.865 |2196.97 |2074.722 |2013.889 |1965.362 |1688.228 |2142.857 |2068.146 |2160.596 |2108.239
D=1/M=1957 |2280.886 |2756.338 |2680.822 |2877.941 |2886.431 |2852.77 |2658.967 |2987.786 |2680.822 |2832.127 |2464.735 |2662.585 |2756.338 |2313.239 |2714.286 |3091.627 |2609.333 |2756.338 |2899.259 |2894.97
D=1/M=2827 |3321.974 |3401.926 |3321.974 |2296.507 |3345.562 |2349.958 |3700.262 |3079.521 |3086.245 |3507.444 |3155.134 |3468.712 |3298.717 |3516.169 |3134.146 |3633.676 |3685.789 |3162.192 |3661.917 |3490.124
D=1/M=8917 |3568.227 |2499.159 |2498.459 |3582.563 |2726.078 |3028.872 |1969.737 |2642.857 |3229.627 |3262.715 |2502.666 |2750.463 |3473.705 |2583.889 |2724.412 |3001.346 |3998.655 |2398.978 |2562.356 |3552.59
D=1/M=15660 |2206.877 |2909.699 |3228.866 |2449.554 |4110.236 |2951.376 |3923.829 |3855.244 |3056.206 |1944.617 |3543.788 |3365.571 |1903.026 |2922.187 |2284.464 |2834.902 |3558.282 |1901.408 |3302.404 |2342.558
D=1/M=22185 |3012.22 |3337.596 |2328.401 |3945.403 |1998.289 |3824.341 |2267.941 |2557.054 |2583.256 |3280.349 |2562.666 |1980.98 |2695.626 |2810.006 |3059.578 |1753.894 |2126.018 |2189.381 |3208.707 |1664.666
D=1/M=40925 |1167.718 |1260.329 |1015.476 |1022.762 |1144.807 |1085.776 |1398.314 |1207.394 |1177.782 |1145.632 |1067.153 |1338.769 |1074.544 |1112.845 |1056.007 |999.9279 |1280.609 |1273.659 |1158.612 |1018.268
D=1/M=39900 |856.9772 |928.7924 |798.2659 |806.571 |801.5882 |843.4293 |861.2748 |874.7618 |906.9844 |761.567 |839.2547 |864.3776 |837.296 |839.644 |880.7877 |781.9376 |788.4219 |752.1249 |742.2694 |748.583
D=1/M=40331 |746.138 |682.8345 |707.9984 |739.0615 |772.8016 |726.0583 |706.7448 |675.6857 |686.6679 |606.3403 |744.0104 |663.9511 |775.7321 |703.791 |702.1981 |835.9026 |790.0775 |772.4487 |781.8893 |934.1805
