D=1/M=232 | 0.642 | 0.524 | 0.445 | 0.436 | 0.425 | 0.445 | 0.445 | 0.431 | 0.467 | 0.681 | 0.417 | 0.629 | 0.412 | 0.421 | 0.418 | 0.429 | 0.474 | 0.439 | 0.451 | 0.44
D=1/M=1305 | 2.423 | 2.307 | 2.291 | 2.031 | 2.193 | 2.817 | 3.966 | 2.476 | 2.21 | 2.13 | 1.985 | 2.028 | 2.364 | 2.251 | 2.055 | 2.195 | 2.234 | 2.103 | 2.131 | 2.488
D=1/M=1958 | 3.691 | 3.084 | 3.25 | 3.252 | 3.189 | 3.134 | 3.254 | 3.123 | 3.202 | 3.191 | 3.481 | 3.556 | 3.081 | 3.102 | 3.144 | 3.207 | 3.043 | 3.109 | 2.999 | 3.763
D=1/M=2828 | 4.745 | 4.496 | 4.553 | 4.652 | 4.659 | 4.411 | 4.872 | 4.743 | 4.46 | 4.585 | 4.392 | 5.447 | 4.789 | 4.795 | 4.399 | 4.377 | 4.507 | 4.45 | 5.231 | 4.415
D=1/M=8903 | 17.595 | 21.443 | 16.125 | 17.302 | 17.134 | 19.215 | 16.545 | 17.082 | 18.385 | 17.533 | 16.789 | 17.03 | 17.379 | 16.241 | 16.576 | 16.416 | 17.133 | 16.763 | 17.104 | 16.704
D=1/M=15622 | 38.929 | 38.907 | 39.981 | 39.929 | 40.972 | 40.733 | 38.872 | 39.495 | 38.551 | 39.369 | 37.865 | 39.085 | 38.414 | 39.357 | 37.373 | 37.208 | 37.869 | 37.452 | 37.488 | 36.908
D=1/M=22146 | 57.459 | 55.857 | 58.063 | 56.274 | 57.999 | 58.185 | 54.79 | 56.814 | 57.898 | 57.011 | 56.722 | 56.638 | 55.717 | 57.063 | 54.547 | 54.899 | 63.559 | 55.841 | 55.917 | 55.512
D=1/M=32484 | 93.847 | 97.461 | 95.382 | 95.37 | 96.696 | 94.151 | 95.546 | 94.266 | 94.534 | 96.253 | 117.343 | 134.404 | 126.663 | 124.487 | 121.929 | 119.428 | 121.87 | 117.45 | 137.743 | 124.652
D=1/M=32484 | 122.828 | 114.54 | 120.434 | 128.542 | 123.121 | 115.989 | 115.944 | 122.965 | 120.788 | 124.159 | 116.81 | 120.606 | 121.407 | 113.547 | 120.73 | 116.778 | 120.889 | 115.237 | 119.83 | 108.853
D=1/M=32484 | 97.222 | 92.01 | 94.169 | 90.011 | 92.85 | 91.333 | 93.627 | 92.833 | 96.034 | 97.954 | 94.327 | 92.848 | 94.073 | 93.139 | 90.332 | 91.391 | 91.675 | 92.897 | 93.889 | 90.616
