D=1/M=246 | 0.755 | 0.579 | 0.485 | 0.43 | 0.413 | 0.415 | 0.373 | 0.391 | 0.435 | 0.391 | 0.459 | 0.547 | 0.542 | 0.523 | 0.428 | 0.433 | 0.381 | 0.541 | 0.413 | 0.383
D=1/M=1305 | 0.759 | 0.56 | 0.653 | 0.635 | 0.543 | 0.561 | 0.741 | 0.561 | 0.533 | 0.568 | 0.59 | 0.594 | 0.629 | 0.648 | 0.664 | 0.773 | 0.609 | 0.631 | 0.604 | 0.619
D=1/M=1957 | 0.858 | 0.71 | 0.73 | 0.68 | 0.678 | 0.686 | 0.736 | 0.655 | 0.73 | 0.691 | 0.794 | 0.735 | 0.71 | 0.846 | 0.721 | 0.633 | 0.75 | 0.71 | 0.675 | 0.676
D=1/M=2827 | 0.851 | 0.831 | 0.851 | 1.231 | 0.845 | 1.203 | 0.764 | 0.918 | 0.916 | 0.806 | 0.896 | 0.815 | 0.857 | 0.804 | 0.902 | 0.778 | 0.767 | 0.894 | 0.772 | 0.81
D=1/M=8917 | 2.499 | 3.568 | 3.569 | 2.489 | 3.271 | 2.944 | 4.527 | 3.374 | 2.761 | 2.733 | 3.563 | 3.242 | 2.567 | 3.451 | 3.273 | 2.971 | 2.23 | 3.717 | 3.48 | 2.51
D=1/M=15660 | 7.096 | 5.382 | 4.85 | 6.393 | 3.81 | 5.306 | 3.991 | 4.062 | 5.124 | 8.053 | 4.419 | 4.653 | 8.229 | 5.359 | 6.855 | 5.524 | 4.401 | 8.236 | 4.742 | 6.685
D=1/M=22185 | 7.365 | 6.647 | 9.528 | 5.623 | 11.102 | 5.801 | 9.782 | 8.676 | 8.588 | 6.763 | 8.657 | 11.199 | 8.23 | 7.895 | 7.251 | 12.649 | 10.435 | 10.133 | 6.914 | 13.327
D=1/M=40925 | 35.047 | 32.724 | 40.321 | 40.066 | 36.048 | 38.134 | 29.532 | 33.029 | 34.081 | 35.576 | 37.392 | 30.847 | 38.541 | 36.9 | 39.138 | 41.577 | 32.433 | 31.795 | 35.571 | 40.672
D=1/M=39900 | 46.559 | 42.987 | 50.631 | 51.073 | 51.882 | 48.419 | 47.85 | 46.184 | 45.788 | 53.428 | 48.891 | 47.706 | 49.587 | 48.991 | 46.975 | 52.54 | 51.891 | 54.943 | 53.618 | 53.811
D=1/M=40331 | 54.053 | 60.47 | 58.462 | 55.492 | 52.562 | 57.191 | 58.253 | 58.949 | 60.013 | 67.82 | 54.303 | 62.479 | 52.415 | 58.56 | 58.324 | 49.105 | 51.862 | 53.689 | 50.832 | 43.042
