150, 519, 669
570, 38, 608
2537, 23, 2560
5163, 8, 5171
801, 12, 813
1661, 24, 1685
638, 12, 650
825, 25, 850
417, 21, 438
5335, 16, 5351
5708, 22, 5730
6649, 44, 6693
903, 38, 941
8577, 8, 8585
413, 128, 541
381, 59, 440
1127, 14, 1141
5570, 18, 5588
1043, 10, 1053
459, 20, 479
1918, 21, 1939
10174, 12, 10186
5630, 36, 5666
8733, 62, 8795
5028, 18, 5046
5961, 16, 5977
4848, 22, 4870
7382, 26, 7408
6389, 40, 6429
5603, 31, 5634
5298, 21, 5319
5842, 28, 5870
6159, 33, 6192
8003, 20, 8023
8579, 18, 8597
6813, 18, 6831
2390, 21, 2411
1330, 14, 1344
6312, 28, 6340
9735, 24, 9759
6444, 29, 6473
10555, 41, 10596
10316, 36, 10352
5481, 61, 5542
5465, 29, 5494
7752, 20, 7772
5018, 135, 5153
9931, 34, 9965
1177, 24, 1201
9686, 30, 9716
790, 19, 809
5167, 158, 5325
769, 36, 805
4802, 19, 4821
5732, 28, 5760
9677, 29, 9706
5803, 22, 5825
5187, 24, 5211
5285, 28, 5313
6358, 15, 6373
10118, 25, 10143
6001, 18, 6019
4918, 22, 4940
6221, 17, 6238
4646, 147, 4793
4215, 36, 4251
7455, 19, 7474
3945, 21, 3966
2175, 72, 2247
1854, 13, 1867
9356, 22, 9378
10097, 23, 10120
5267, 25, 5292
10465, 31, 10496
12478, 14, 12492
3917, 77, 3994
5122, 44, 5166
6867, 18, 6885
5182, 70, 5252
10418, 32, 10450
656, 26, 682
4538, 20, 4558
754, 19, 773
5137, 71, 5208
1436, 12, 1448
4348, 18, 4366
5345, 26, 5371
9372, 51, 9423
5201, 22, 5223
5207, 26, 5233
5108, 31, 5139
6855, 18, 6873
10384, 25, 10409
5979, 15, 5994
4898, 26, 4924
5999, 8, 6007
4369, 76, 4445
3871, 22, 3893
6805, 22, 6827
3730, 17, 3747
1965, 15, 1980
775, 44, 819
9909, 27, 9936
10015, 17, 10032
6628, 30, 6658
10823, 36, 10859
12504, 9, 12513
1244, 48, 1292
5420, 37, 5457
6203, 21, 6224
4901, 144, 5045
10285, 33, 10318
1030, 14, 1044
4217, 20, 4237
1023, 9, 1032
316, 25, 341
1381, 13, 1394
4215, 39, 4254
5044, 53, 5097
8979, 31, 9010
4962, 22, 4984
4939, 172, 5111
5256, 31, 5287
6803, 22, 6825
10650, 22, 10672
6095, 18, 6113
4890, 23, 4913
5567, 17, 5584
5341, 67, 5408
3769, 19, 3788
5770, 23, 5793
4159, 20, 4179
2429, 11, 2440
814, 23, 837
9976, 48, 10024
9389, 22, 9411
5356, 32, 5388
10154, 36, 10190
13076, 20, 13096
389, 55, 444
4978, 49, 5027
5783, 18, 5801
4876, 110, 4986
10063, 19, 10082
623, 25, 648
4706, 18, 4724
902, 9, 911
384, 32, 416
1366, 10, 1376
4289, 15, 4304
4875, 31, 4906
9339, 29, 9368
5687, 31, 5718
5321, 52, 5373
5015, 29, 5044
6883, 35, 6918
10241, 23, 10264
5679, 17, 5696
5338, 12, 5350
3174, 29, 3203
9291, 61, 9352
3805, 18, 3823
5518, 21, 5539
3855, 20, 3875
3841, 13, 3854
1026, 21, 1047
8781, 53, 8834
9495, 16, 9511
5423, 59, 5482
10898, 95, 10993
12597, 9, 12606
1032, 55, 1087
5004, 43, 5047
6195, 21, 6216
4890, 64, 4954
10914, 9, 10923
791, 28, 819
4444, 21, 4465
706, 11, 717
317, 30, 347
1485, 19, 1504
4632, 19, 4651
5514, 6, 5520
444, 35, 479
5137, 23, 5160
5150, 33, 5183
5196, 35, 5231
7260, 17, 7277
7556, 27, 7583
6104, 22, 6126
6770, 9, 6779
850, 52, 902
8552, 145, 8697
3689, 18, 3707
5379, 59, 5438
3954, 20, 3974
3387, 10, 3397
844, 61, 905
6203, 33, 6236
10288, 17, 10305
4805, 74, 4879
9728, 63, 9791
12790, 10, 12800
4730, 750, 5480
4902, 43, 4945
6249, 17, 6266
4896, 56, 4952
10560, 11, 10571
529, 19, 548
4416, 19, 4435
728, 9, 737
404, 29, 433
1341, 12, 1353
4322, 43, 4365
6272, 5, 6277
441, 48, 489
5659, 25, 5684
5470, 35, 5505
5555, 55, 5610
7129, 17, 7146
5226, 15, 5241
4852, 42, 4894
13788, 16, 13804
5803, 36, 5839
8433, 100, 8533
4172, 20, 4192
5264, 48, 5312
4108, 22, 4130
3231, 10, 3241
843, 24, 867
5536, 32, 5568
10601, 29, 10630
5725, 42, 5767
11746, 41, 11787
