 5, 15, 27, 36, 42, 43, 46, 47, 49, 57, 60, 69, 70, 74, 77, 79, 86, 87, 90, 98, 102, 114, 122, 128, 129, 132, 138, 141, 143, 144, 148, 
 11, 23, 32, 33, 35, 45, 46, 48, 53, 56, 59, 66, 69, 72, 75, 77, 79, 80, 90, 93, 112, 120, 122, 123, 125, 133, 135, 139, 141, 146, 147, 
 10, 12, 13, 18, 19, 23, 32, 55, 62, 66, 71, 79, 81, 83, 85, 87, 89, 99, 102, 103, 109, 110, 113, 115, 121, 122, 129, 136, 137, 139, 143, 
 7, 16, 29, 31, 41, 44, 54, 57, 60, 66, 76, 83, 85, 96, 100, 101, 105, 110, 112, 114, 125, 126, 127, 128, 134, 138, 140, 143, 144, 145, 149, 
 5, 11, 19, 24, 27, 40, 50, 53, 55, 67, 68, 76, 80, 81, 83, 89, 95, 97, 110, 111, 115, 116, 124, 126, 128, 129, 130, 134, 137, 139, 142, 
 20, 23, 25, 32, 39, 44, 46, 48, 53, 56, 59, 64, 69, 71, 75, 77, 78, 93, 104, 109, 112, 117, 120, 122, 131, 133, 134, 137, 142, 147, 148, 
 1, 13, 19, 25, 38, 55, 71, 79, 83, 85, 87, 89, 96, 99, 102, 109, 113, 115, 121, 122, 126, 127, 129, 132, 136, 137, 139, 140, 142, 143, 149, 
 0, 1, 2, 5, 9, 15, 22, 39, 43, 47, 49, 52, 58, 62, 79, 80, 86, 91, 94, 96, 103, 108, 124, 128, 130, 131, 132, 136, 144, 147, 148, 
 8, 16, 17, 23, 27, 28, 30, 31, 32, 42, 43, 46, 49, 50, 64, 65, 86, 89, 91, 93, 94, 106, 116, 121, 122, 123, 124, 127, 133, 134, 137, 
 0, 1, 12, 13, 23, 32, 45, 46, 55, 58, 68, 80, 81, 83, 85, 89, 92, 94, 99, 105, 113, 115, 121, 122, 126, 129, 131, 133, 136, 137, 143, 
 3, 5, 8, 9, 15, 17, 27, 33, 35, 40, 47, 49, 54, 56, 57, 63, 73, 76, 77, 83, 85, 86, 97, 107, 116, 123, 135, 136, 140, 146, 149, 
 1, 3, 5, 17, 19, 28, 29, 30, 33, 40, 46, 52, 53, 54, 56, 60, 62, 69, 76, 83, 88, 91, 99, 105, 107, 115, 128, 137, 139, 146, 149, 
 2, 4, 8, 9, 15, 17, 20, 33, 40, 46, 47, 49, 60, 63, 64, 67, 70, 75, 76, 84, 86, 89, 114, 120, 122, 124, 128, 133, 137, 143, 145, 
 8, 9, 15, 17, 18, 27, 37, 40, 43, 45, 47, 49, 60, 63, 64, 70, 72, 76, 85, 86, 93, 101, 105, 112, 124, 133, 134, 137, 142, 148, 149, 
 8, 9, 12, 15, 16, 18, 21, 27, 30, 35, 43, 47, 49, 55, 61, 64, 71, 73, 81, 86, 87, 94, 101, 114, 115, 122, 123, 124, 126, 139, 148, 
