0, 4, 6, 7, 14, 16, 18, 22, 23, 24, 27, 29, 30, 33, 36, 38, 39, 44, 46, 47, 48, 49, 50, 51, 58, 62, 65, 66, 67, 69, 70, 72, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 93, 95, 98, 99, 
0, 6, 7, 14, 18, 22, 23, 24, 27, 29, 30, 33, 36, 38, 39, 43, 44, 47, 48, 50, 51, 52, 55, 58, 59, 60, 62, 65, 66, 69, 70, 71, 72, 73, 74, 76, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 92, 93, 95, 99, 
1, 4, 7, 9, 10, 11, 15, 19, 20, 23, 24, 27, 28, 29, 33, 36, 39, 42, 43, 47, 48, 50, 51, 52, 53, 54, 58, 64, 65, 67, 68, 69, 70, 73, 74, 75, 76, 78, 79, 84, 85, 86, 87, 90, 91, 92, 95, 97, 98, 99, 
1, 3, 11, 13, 15, 19, 20, 26, 27, 28, 29, 32, 33, 34, 37, 40, 41, 43, 45, 46, 47, 48, 52, 54, 55, 57, 60, 63, 65, 66, 67, 68, 72, 73, 74, 76, 80, 81, 83, 84, 87, 88, 89, 91, 92, 94, 95, 96, 98, 99, 
0, 5, 7, 12, 14, 15, 18, 19, 22, 23, 24, 27, 30, 31, 36, 38, 39, 42, 44, 46, 47, 48, 49, 50, 51, 55, 58, 60, 61, 66, 67, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 86, 87, 88, 94, 96, 98, 99, 
0, 2, 4, 5, 14, 15, 17, 18, 22, 24, 28, 30, 33, 35, 36, 37, 38, 39, 44, 47, 48, 49, 50, 52, 54, 55, 56, 58, 59, 60, 62, 66, 69, 70, 71, 72, 73, 79, 80, 81, 83, 84, 86, 87, 88, 90, 92, 93, 94, 99, 
2, 5, 8, 10, 11, 12, 13, 14, 16, 17, 19, 24, 28, 29, 34, 37, 39, 43, 45, 48, 49, 50, 51, 54, 55, 61, 62, 64, 65, 67, 68, 69, 70, 71, 74, 75, 76, 80, 82, 83, 84, 85, 86, 87, 88, 93, 94, 97, 98, 99, 
1, 2, 5, 6, 7, 12, 13, 15, 16, 17, 21, 22, 23, 29, 31, 33, 35, 36, 38, 40, 41, 42, 46, 47, 49, 50, 51, 52, 55, 61, 65, 66, 67, 68, 72, 73, 74, 75, 76, 78, 79, 80, 81, 86, 89, 91, 93, 95, 96, 98, 
0, 1, 4, 5, 13, 14, 16, 18, 22, 24, 26, 27, 31, 33, 35, 36, 40, 43, 44, 48, 49, 58, 59, 62, 63, 64, 67, 70, 72, 74, 76, 78, 79, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 95, 96, 97, 98, 99, 
0, 4, 6, 14, 18, 22, 23, 24, 27, 30, 35, 36, 38, 39, 43, 44, 47, 48, 49, 50, 51, 52, 54, 55, 58, 59, 60, 62, 65, 66, 68, 69, 70, 71, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 87, 88, 92, 93, 99, 
0, 3, 6, 13, 15, 17, 18, 22, 23, 24, 26, 31, 32, 35, 36, 38, 43, 44, 47, 49, 54, 56, 58, 61, 62, 63, 64, 65, 66, 68, 71, 72, 73, 74, 75, 77, 80, 82, 83, 84, 85, 87, 88, 90, 91, 92, 93, 94, 95, 97, 
0, 1, 4, 6, 10, 11, 14, 21, 24, 27, 30, 33, 35, 38, 39, 40, 43, 44, 47, 48, 50, 51, 52, 54, 55, 56, 58, 59, 60, 62, 65, 68, 70, 71, 73, 76, 77, 79, 81, 82, 83, 84, 85, 87, 88, 89, 92, 93, 97, 99, 
2, 4, 7, 8, 9, 10, 15, 18, 19, 20, 21, 23, 25, 27, 28, 31, 32, 34, 36, 37, 38, 39, 40, 41, 43, 44, 46, 50, 52, 54, 55, 56, 57, 60, 63, 64, 66, 67, 68, 72, 74, 76, 80, 81, 83, 89, 91, 93, 94, 98, 
