0000 [40/-1] - 615, 618, 633, 635, 638, 641, 656, 658, 663, 681, 682, 683, 685, 688, 689, 696, 697, 698, 711, 717, 720, 725, 738, 739, 745, 746, 747, 750, 751, 757, 764, 766, 768, 772, 776, 777, 779, 790, 797, 801, 
0001 [0/-1] - 
0002 [17/-1] - 555, 565, 598, 616, 619, 651, 660, 718, 737, 791, 818, 825, 835, 840, 878, 880, 881, 
0003 [0/-1] - 
0004 [29/-1] - 540, 571, 573, 576, 579, 586, 590, 608, 609, 614, 623, 631, 645, 652, 680, 686, 693, 712, 722, 726, 743, 756, 762, 782, 784, 804, 837, 850, 877, 
0005 [0/-1] - 
0006 [0/-1] - 
0007 [3/-1] - 566, 612, 786, 
0008 [0/-1] - 
0009 [0/-1] - 
0010 [0/-1] - 
0011 [0/-1] - 
0012 [5/-1] - 590, 614, 693, 712, 726, 
0013 [0/-1] - 
0014 [0/-1] - 
0015 [0/-1] - 
0016 [0/-1] - 
0017 [40/-1] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
0018 [40/100] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
0019 [40/100] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
0020 [40/100] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
0021 [40/100] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
0022 [40/100] - 608, 641, 645, 650, 655, 658, 671, 674, 683, 685, 692, 693, 703, 705, 708, 712, 726, 727, 730, 734, 742, 752, 753, 754, 762, 765, 767, 773, 780, 782, 784, 788, 797, 799, 802, 804, 805, 806, 808, 837, 
