16 |  5.600E+02
26 |  6.578E+04
36 |  8.348E+06
46 |  1.102E+09
56 |  1.489E+11
66 |  2.045E+13
76 |  2.841E+15
86 |  3.980E+17
96 |  5.615E+19
106 |  7.964E+21
116 |  1.135E+24
126 |  1.622E+26
136 |  2.327E+28
146 |  3.347E+30
156 |  4.826E+32
166 |  6.972E+34
176 |  1.009E+37
186 |  1.463E+39
196 |  2.123E+41
206 |  3.086E+43
216 |  4.491E+45
226 |  6.543E+47
236 |  9.542E+49
246 |  1.393E+52
256 |  2.034E+54
266 |  2.974E+56
276 |  4.351E+58
286 |  6.369E+60
296 |  9.329E+62
306 |  1.367E+65
316 |  2.005E+67
326 |  2.941E+69
336 |  4.317E+71
346 |  6.340E+73
356 |  9.314E+75
366 |  1.369E+78
376 |  2.012E+80
386 |  2.960E+82
396 |  4.354E+84
406 |  6.408E+86
416 |  9.433E+88
426 |  1.389E+91
436 |  2.046E+93
446 |  3.014E+95
456 |  4.442E+97
466 |  6.548E+99
476 | 9.655E+101
486 | 1.424E+104
496 | 2.100E+106
506 | 3.098E+108
516 | 4.572E+110
526 | 6.748E+112
536 | 9.961E+114
546 | 1.471E+117
556 | 2.172E+119
566 | 3.207E+121
576 | 4.738E+123
586 | 6.999E+125
596 | 1.034E+128
606 | 1.528E+130
616 | 2.259E+132
626 | 3.339E+134
636 | 4.936E+136
646 | 7.298E+138
656 | 1.079E+141
666 | 1.596E+143
676 | 2.361E+145
686 | 3.492E+147
696 | 5.166E+149
706 | 7.643E+151
716 | 1.131E+154
726 | 1.674E+156
736 | 2.477E+158
746 | 3.666E+160
756 | 5.426E+162
766 | 8.033E+164
776 | 1.189E+167
786 | 1.761E+169
796 | 2.607E+171
806 | 3.861E+173
816 | 5.718E+175
826 | 8.469E+177
836 | 1.254E+180
846 | 1.858E+182
856 | 2.753E+184
866 | 4.078E+186
876 | 6.042E+188
886 | 8.952E+190
896 | 1.327E+193
906 | 1.966E+195
916 | 2.913E+197
926 | 4.317E+199
936 | 6.399E+201
946 | 9.485E+203
956 | 1.406E+206
966 | 2.084E+208
976 | 3.090E+210
986 | 4.581E+212
996 | 6.791E+214
1006 | 1.007E+217
1016 | 1.493E+219
