7/2/2010 0:00,1.0
7/2/2010 1:00,2.0
7/2/2010 2:00,3.0
7/2/2010 3:00,4.0
7/2/2010 4:00,5.0
7/2/2010 5:00,6.0
7/2/2010 6:00,7.0
7/2/2010 7:00,8.0
7/2/2010 8:00,9.0
7/2/2010 9:00,10.0
7/2/2010 0:00,11.0
7/2/2010 1:00,12.0
7/2/2010 2:00,13.0
7/2/2010 3:00,14.0
7/2/2010 4:00,15.0
7/2/2010 5:00,16.0
7/2/2010 6:00,17.0
7/2/2010 7:00,18.0
7/2/2010 8:00,19.0
7/2/2010 9:00,20.0
7/2/2010 0:00,19.0
7/2/2010 1:00,18.0
7/2/2010 2:00,17.0
7/2/2010 3:00,16.0
7/2/2010 4:00,15.0
7/2/2010 5:00,16.0
7/2/2010 6:00,17.0
