1541, 6, 12, 2573, 1044, 1557, 3608, 1049, 3503, 3619, 3590, 2605, 3630, 2609
2560, 2565, 2568, 524, 2077, 1568, 2088, 1066, 1287, 49, 51, 3126, 2618, 3138
3205, 1027, 1540, 1029, 3078, 519, 3069, 526, 1039, 3600, 3601, 1554, 3, 3587
3205, 3789, 901, 577, 3338, 1675, 12, 2573, 4013, 1936, 3985, 1298, 1683, 1044
2560, 899, 3962, 2950, 392, 2186, 3991, 524, 2829, 2447, 1680, 2706, 2195, 2905
3205, 3789, 901, 577, 3338, 1675, 12, 2573, 4013, 1936, 3985, 1298, 1683, 1044
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
833, 3338, 1675, 12, 2573, 1298, 1683, 1044, 2709, 3608, 411, 3229, 938, 2759
2560, 899, 2950, 3464, 2186, 2447, 1680, 2706, 2195, 3991, 3480, 3870, 2468, 165
2433, 1027, 1029, 3078, 3342, 2833, 147, 1562, 2479, 936, 1579, 3244, 175, 3121
