
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 
1167, 2009, 2232, 2442, 2450, 2753, 2895, 2952, 3071, 3151, 3193, 3287, 3563, 3772, 3887, 3935, 4008, 4239, 4567, 4586, 
3057, 3194, 3559, 3941, 4002, 4038, 4181, 4243, 4285, 4326, 4406, 4489, 4556, 4686, 4842, 4880, 4957, 5052, 5377, 5409, 
3560, 4226, 4338, 4848, 5399, 5410, 5450, 5674, 5704, 5732, 5846, 5855, 5919, 6024, 6379, 6479, 6530, 6607, 6716, 6789, 
4634, 6003, 6363, 6396, 6433, 6483, 6536, 6619, 6723, 6757, 6778, 6817, 7046, 7156, 7263, 7400, 7495, 7684, 7744, 7836, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
13492, 13986, 14045, 14086, 14133, 14220, 14257, 14395, 14435, 14479, 14602, 14691, 14760, 14814, 15063, 15094, 15148, 15265, 15281, 15737, 
8700, 9489, 9976, 10002, 10518, 10683, 10776, 10881, 10908, 10993, 11039, 11054, 11338, 11369, 11475, 11578, 11637, 11688, 12047, 12160, 
14272, 14441, 15052, 15107, 15158, 15276, 15358, 15498, 15685, 15715, 15748, 15825, 15986, 16025, 16118, 16126, 16179, 16235, 16430, 16687, 
10004, 10511, 10691, 11793, 11825, 12034, 12147, 12165, 12279, 12344, 12394, 12472, 12494, 12584, 12617, 12700, 13066, 13112, 13134, 13215, 
3058, 3176, 3571, 3942, 4018, 4044, 4176, 4249, 4293, 4345, 4403, 4490, 4558, 4690, 4840, 4876, 4968, 5062, 5382, 5414, 
3568, 4232, 4335, 4847, 5385, 5418, 5461, 5656, 5706, 5748, 5829, 5863, 5913, 6001, 6397, 6487, 6533, 6615, 6701, 6781, 
11600, 11839, 12042, 12137, 12716, 12860, 12890, 12983, 13060, 13075, 13105, 13143, 13164, 13409, 13537, 13573, 13580, 13678, 14251, 14388, 
13497, 13994, 14049, 14088, 14136, 14205, 14267, 14383, 14446, 14493, 14606, 14688, 14769, 14824, 15067, 15095, 15146, 15271, 15290, 15726, 
8702, 9485, 9985, 10005, 10508, 10699, 10799, 10894, 10903, 10989, 11048, 11069, 11333, 11371, 11482, 11591, 11644, 11685, 12039, 12161, 

3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 
1167, 2009, 2232, 2442, 2450, 2753, 2895, 2952, 3071, 3151, 3193, 3287, 3563, 3772, 3887, 3935, 4008, 4239, 4567, 4586, 
3057, 3194, 3559, 3941, 4002, 4038, 4181, 4243, 4285, 4326, 4406, 4489, 4556, 4686, 4842, 4880, 4957, 5052, 5377, 5409, 
3560, 4226, 4338, 4848, 5399, 5410, 5450, 5674, 5704, 5732, 5846, 5855, 5919, 6024, 6379, 6479, 6530, 6607, 6716, 6789, 
4634, 6003, 6363, 6396, 6433, 6483, 6536, 6619, 6723, 6757, 6778, 6817, 7046, 7156, 7263, 7400, 7495, 7684, 7744, 7836, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
13492, 13986, 14045, 14086, 14133, 14220, 14257, 14395, 14435, 14479, 14602, 14691, 14760, 14814, 15063, 15094, 15148, 15265, 15281, 15737, 
8700, 9489, 9976, 10002, 10518, 10683, 10776, 10881, 10908, 10993, 11039, 11054, 11338, 11369, 11475, 11578, 11637, 11688, 12047, 12160, 
14272, 14441, 15052, 15107, 15158, 15276, 15358, 15498, 15685, 15715, 15748, 15825, 15986, 16025, 16118, 16126, 16179, 16235, 16430, 16687, 
10004, 10511, 10691, 11793, 11825, 12034, 12147, 12165, 12279, 12344, 12394, 12472, 12494, 12584, 12617, 12700, 13066, 13112, 13134, 13215, 
3058, 3176, 3571, 3942, 4018, 4044, 4176, 4249, 4293, 4345, 4403, 4490, 4558, 4690, 4840, 4876, 4968, 5062, 5382, 5414, 
3568, 4232, 4335, 4847, 5385, 5418, 5461, 5656, 5706, 5748, 5829, 5863, 5913, 6001, 6397, 6487, 6533, 6615, 6701, 6781, 
11600, 11839, 12042, 12137, 12716, 12860, 12890, 12983, 13060, 13075, 13105, 13143, 13164, 13409, 13537, 13573, 13580, 13678, 14251, 14388, 
13497, 13994, 14049, 14088, 14136, 14205, 14267, 14383, 14446, 14493, 14606, 14688, 14769, 14824, 15067, 15095, 15146, 15271, 15290, 15726, 
8702, 9485, 9985, 10005, 10508, 10699, 10799, 10894, 10903, 10989, 11048, 11069, 11333, 11371, 11482, 11591, 11644, 11685, 12039, 12161, 
7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 
1167, 2009, 2232, 2442, 2450, 2753, 2895, 2952, 3071, 3151, 3193, 3287, 3563, 3772, 3887, 3935, 4008, 4239, 4567, 4586, 
3560, 4226, 4338, 4848, 5399, 5410, 5450, 5674, 5704, 5732, 5846, 5855, 5919, 6024, 6379, 6479, 6530, 6607, 6716, 6789, 
4634, 6003, 6363, 6396, 6433, 6483, 6536, 6619, 6723, 6757, 6778, 6817, 7046, 7156, 7263, 7400, 7495, 7684, 7744, 7836, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
13492, 13986, 14045, 14086, 14133, 14220, 14257, 14395, 14435, 14479, 14602, 14691, 14760, 14814, 15063, 15094, 15148, 15265, 15281, 15737, 
8700, 9489, 9976, 10002, 10518, 10683, 10776, 10881, 10908, 10993, 11039, 11054, 11338, 11369, 11475, 11578, 11637, 11688, 12047, 12160, 
14272, 14441, 15052, 15107, 15158, 15276, 15358, 15498, 15685, 15715, 15748, 15825, 15986, 16025, 16118, 16126, 16179, 16235, 16430, 16687, 
10004, 10511, 10691, 11793, 11825, 12034, 12147, 12165, 12279, 12344, 12394, 12472, 12494, 12584, 12617, 12700, 13066, 13112, 13134, 13215, 
3058, 3176, 3571, 3942, 4018, 4044, 4176, 4249, 4293, 4345, 4403, 4490, 4558, 4690, 4840, 4876, 4968, 5062, 5382, 5414, 
3568, 4232, 4335, 4847, 5385, 5418, 5461, 5656, 5706, 5748, 5829, 5863, 5913, 6001, 6397, 6487, 6533, 6615, 6701, 6781, 
11600, 11839, 12042, 12137, 12716, 12860, 12890, 12983, 13060, 13075, 13105, 13143, 13164, 13409, 13537, 13573, 13580, 13678, 14251, 14388, 
13497, 13994, 14049, 14088, 14136, 14205, 14267, 14383, 14446, 14493, 14606, 14688, 14769, 14824, 15067, 15095, 15146, 15271, 15290, 15726, 
8702, 9485, 9985, 10005, 10508, 10699, 10799, 10894, 10903, 10989, 11048, 11069, 11333, 11371, 11482, 11591, 11644, 11685, 12039, 12161, 

7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 11600, 11617, 11832, 11839, 12029, 12042, 12126, 12137, 12709, 12716, 12860, 12873, 12878, 12890, 12983, 12994, 13060, 13074, 13075, 13088, 13105, 13113, 13138, 13143, 13161, 13164, 13407, 13409, 13537, 13541, 13556, 13573, 13580, 13582, 13677, 13678, 14251, 14253, 14388, 14389, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
3562, 4228, 4346, 4845, 5389, 5407, 5469, 5653, 5712, 5726, 5828, 5852, 5915, 6023, 6399, 6482, 6525, 6624, 6720, 6785, 
7345, 7679, 7815, 8114, 8328, 8492, 8517, 8543, 8683, 8719, 8840, 8871, 8882, 8956, 9019, 9318, 9331, 9380, 9416, 9944, 
1167, 2009, 2232, 2442, 2450, 2753, 2895, 2952, 3071, 3151, 3193, 3287, 3563, 3772, 3887, 3935, 4008, 4239, 4567, 4586, 
3057, 3194, 3559, 3941, 4002, 4038, 4181, 4243, 4285, 4326, 4406, 4489, 4556, 4686, 4842, 4880, 4957, 5052, 5377, 5409, 
3560, 4226, 4338, 4848, 5399, 5410, 5450, 5674, 5704, 5732, 5846, 5855, 5919, 6024, 6379, 6479, 6530, 6607, 6716, 6789, 
6007, 6704, 6968, 7331, 7449, 7633, 7678, 7740, 7837, 7884, 7942, 8032, 8073, 8111, 8274, 8307, 8383, 8481, 8690, 8704, 
