0000 [40/-1] - 935, 946, 950, 972, 994, 1000, 1018, 1019, 1034, 1047, 1049, 1051, 1059, 1069, 1079, 1086, 1106, 1110, 1113, 1135, 1145, 1148, 1151, 1153, 1159, 1171, 1173, 1178, 1185, 1189, 1203, 1213, 1215, 1236, 1238, 1267, 1288, 1304, 1307, 1319, 
0001 [40/95] - 935, 946, 950, 972, 994, 1000, 1018, 1019, 1034, 1047, 1049, 1051, 1059, 1069, 1079, 1086, 1106, 1110, 1113, 1135, 1145, 1148, 1151, 1159, 1171, 1173, 1178, 1185, 1189, 1203, 1213, 1215, 1220, 1236, 1238, 1267, 1304, 1307, 1319, 1354, 
0002 [40/92,5] - 935, 946, 950, 1000, 1018, 1019, 1034, 1047, 1049, 1051, 1059, 1069, 1079, 1086, 1106, 1110, 1113, 1135, 1145, 1148, 1151, 1159, 1171, 1173, 1178, 1185, 1189, 1203, 1212, 1213, 1215, 1220, 1236, 1238, 1257, 1267, 1304, 1307, 1319, 1373, 
0003 [40/100] - 935, 946, 950, 1000, 1018, 1019, 1034, 1047, 1049, 1051, 1059, 1069, 1079, 1086, 1106, 1110, 1113, 1135, 1145, 1148, 1151, 1159, 1171, 1173, 1178, 1185, 1189, 1203, 1212, 1213, 1215, 1220, 1236, 1238, 1257, 1267, 1304, 1307, 1319, 1373, 
0004 [0/-1] - 
0005 [0/-1] - 
0006 [0/-1] - 
0007 [0/-1] - 
0008 [0/-1] - 
0009 [0/-1] - 
0010 [0/-1] - 
0011 [0/-1] - 
0012 [0/-1] - 
0013 [0/-1] - 
0014 [0/-1] - 
0015 [0/-1] - 
0016 [0/-1] - 
0017 [0/-1] - 
0018 [0/-1] - 
0019 [0/-1] - 
0020 [0/-1] - 
0021 [0/-1] - 
0022 [0/-1] - 
0023 [0/-1] - 
0024 [0/-1] - 
0025 [0/-1] - 
0026 [0/-1] - 
0027 [0/-1] - 
0028 [0/-1] - 
0029 [0/-1] - 
0030 [0/-1] - 
0031 [0/-1] - 
0032 [0/-1] - 
0033 [0/-1] - 
0034 [0/-1] - 
0035 [0/-1] - 
0036 [6/-1] - 786, 791, 818, 821, 825, 841, 
0037 [34/17,6470588235294] - 740, 758, 786, 791, 797, 813, 818, 821, 825, 826, 836, 839, 841, 846, 849, 852, 854, 864, 878, 901, 911, 912, 924, 939, 944, 954, 964, 973, 989, 992, 1010, 1015, 1016, 1037, 
0038 [2/5,88235294117647] - 786, 841, 
0039 [2/100] - 786, 841, 
0040 [2/100] - 786, 841, 
0041 [2/100] - 786, 841, 
0042 [2/100] - 786, 841, 
0043 [2/100] - 786, 841, 
0044 [2/100] - 786, 841, 
