0000 [40/-1] - 7, 11, 25, 29, 41, 51, 66, 77, 94, 101, 107, 112, 118, 125, 150, 209, 231, 237, 251, 255, 257, 258, 266, 274, 298, 300, 321, 324, 328, 380, 1995, 2008, 2012, 2014, 2015, 2027, 2031, 2035, 2040, 2044, 
0001 [40/90] - 11, 25, 29, 41, 51, 66, 77, 94, 101, 107, 112, 118, 125, 150, 170, 231, 237, 251, 255, 257, 258, 274, 300, 321, 323, 324, 328, 339, 380, 382, 1995, 2008, 2012, 2014, 2015, 2027, 2031, 2035, 2040, 2044, 
0002 [40/95] - 11, 25, 29, 41, 51, 66, 77, 94, 101, 107, 112, 118, 125, 150, 181, 218, 231, 237, 251, 255, 257, 258, 274, 300, 321, 323, 324, 328, 339, 380, 1995, 2008, 2012, 2014, 2015, 2027, 2031, 2035, 2040, 2044, 
0003 [40/100] - 11, 25, 29, 41, 51, 66, 77, 94, 101, 107, 112, 118, 125, 150, 181, 218, 231, 237, 251, 255, 257, 258, 274, 300, 321, 323, 324, 328, 339, 380, 1995, 2008, 2012, 2014, 2015, 2027, 2031, 2035, 2040, 2044, 
0004 [40/0] - 98, 322, 485, 1012, 1316, 1324, 1374, 1382, 1462, 1477, 1497, 1504, 1578, 1623, 1625, 1711, 1724, 1741, 1761, 1802, 1804, 1818, 1820, 1840, 1853, 1864, 1888, 1895, 1897, 1914, 1921, 1922, 1936, 1953, 1962, 1972, 1975, 1990, 1993, 2003, 
0005 [40/0] - 1498, 1524, 1530, 1542, 1546, 1558, 1567, 1570, 1583, 1589, 1591, 1603, 1607, 1614, 1645, 1657, 1658, 1659, 1673, 1675, 1682, 1707, 1709, 1734, 1757, 1758, 1786, 1793, 1812, 1841, 1844, 1845, 1866, 1876, 1886, 1893, 1955, 1959, 1996, 2021, 
0006 [40/0] - 1032, 1045, 1054, 1075, 1081, 1090, 1099, 1125, 1138, 1156, 1170, 1175, 1192, 1210, 1218, 1219, 1230, 1234, 1235, 1243, 1260, 1273, 1275, 1323, 1331, 1336, 1340, 1343, 1380, 1390, 1392, 1408, 1411, 1428, 1445, 1446, 1459, 1470, 1483, 1487, 
0007 [40/0] - 269, 278, 304, 305, 316, 341, 342, 359, 360, 368, 375, 385, 392, 418, 419, 420, 431, 454, 474, 478, 500, 501, 516, 520, 532, 547, 548, 560, 626, 644, 710, 715, 754, 792, 802, 853, 872, 898, 907, 963, 
0008 [40/0] - 55, 83, 110, 1686, 1687, 1689, 1693, 1698, 1705, 1756, 1764, 1777, 1785, 1787, 1790, 1794, 1806, 1816, 1819, 1834, 1835, 1843, 1847, 1855, 1856, 1863, 1867, 1879, 1882, 1884, 1894, 1901, 1908, 1916, 1918, 1926, 1933, 1940, 1944, 1974, 
0009 [40/0] - 1065, 1067, 1068, 1085, 1087, 1093, 1102, 1103, 1105, 1112, 1123, 1129, 1149, 1190, 1193, 1200, 1217, 1224, 1249, 1309, 1342, 1361, 1377, 1385, 1404, 1430, 1431, 1485, 1493, 1518, 1536, 1539, 1562, 1576, 1616, 1619, 1630, 1639, 1655, 1666, 
