TaxiPassangerPredictionExperiment637835742529422044.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :45.83333333333333 	 
Cycle: 2 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 3 	 Accuracy :58.333333333333336 	 
cycle : 4 	 Accuracy :54.166666666666664 	 
cycle : 5 	 Accuracy :62.5 	 
cycle : 6 	 Accuracy :70.83333333333334 	 
Cycle: 7 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 8 	 Accuracy :79.16666666666666 	 
cycle : 9 	 Accuracy :75 	 
cycle : 10 	 Accuracy :70.83333333333334 	 
cycle : 11 	 Accuracy :75 	 
cycle : 12 	 Accuracy :83.33333333333334 	 
Cycle: 13 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 14 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
cycle : 15 	 Accuracy :75 	 
cycle : 16 	 Accuracy :87.5 	 
Cycle: 17 	 Saturated Accuracy : 87.5 	 Number of times repeated 1
Cycle: 18 	 Saturated Accuracy : 87.5 	 Number of times repeated 2
cycle : 19 	 Accuracy :91.66666666666666 	 
Cycle: 20 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 1
Cycle: 21 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 2
Cycle: 22 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 3
cycle : 23 	 Accuracy :87.5 	 
cycle : 24 	 Accuracy :91.66666666666666 	 
Cycle: 25 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 2
Cycle: 27 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 3
Cycle: 28 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 4
Cycle: 29 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 5
Cycle: 30 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 6
Cycle: 31 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 7
Cycle: 32 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 8
Cycle: 33 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 9
cycle : 34 	 Accuracy :95.83333333333334 	 
cycle : 35 	 Accuracy :91.66666666666666 	 
Cycle: 36 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 1
cycle : 37 	 Accuracy :95.83333333333334 	 
Cycle: 38 	 Saturated Accuracy : 95.83333333333334 	 Number of times repeated 1
Cycle: 39 	 Saturated Accuracy : 95.83333333333334 	 Number of times repeated 2
Cycle: 40 	 Saturated Accuracy : 95.83333333333334 	 Number of times repeated 3
Cycle: 41 	 Saturated Accuracy : 95.83333333333334 	 Number of times repeated 4
Cycle: 42 	 Saturated Accuracy : 95.83333333333334 	 Number of times repeated 5
cycle : 43 	 Accuracy :91.66666666666666 	 
Cycle: 44 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 2
Cycle: 46 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 3
Cycle: 47 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 4
Cycle: 48 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 5
Cycle: 49 	 Saturated Accuracy : 91.66666666666666 	 Number of times repeated 6
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.333333333333332 	 
cycle : 2 	 Accuracy :4.166666666666666 	 
cycle : 3 	 Accuracy :20.833333333333336 	 
cycle : 4 	 Accuracy :25 	 
cycle : 5 	 Accuracy :29.166666666666668 	 
Cycle: 6 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 7 	 Accuracy :37.5 	 
cycle : 8 	 Accuracy :33.33333333333333 	 
cycle : 9 	 Accuracy :37.5 	 
cycle : 10 	 Accuracy :29.166666666666668 	 
cycle : 11 	 Accuracy :45.83333333333333 	 
cycle : 12 	 Accuracy :41.66666666666667 	 
cycle : 13 	 Accuracy :54.166666666666664 	 
cycle : 14 	 Accuracy :45.83333333333333 	 
cycle : 15 	 Accuracy :41.66666666666667 	 
cycle : 16 	 Accuracy :50 	 
