TaxiPassangerPredictionExperiment637841020698291180.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :12.5 	 
cycle : 1 	 Accuracy :25 	 
Cycle: 2 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 3 	 Accuracy :33.33333333333333 	 
cycle : 4 	 Accuracy :37.5 	 
cycle : 5 	 Accuracy :45.83333333333333 	 
Cycle: 6 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 7 	 Accuracy :41.66666666666667 	 
cycle : 8 	 Accuracy :58.333333333333336 	 
cycle : 9 	 Accuracy :54.166666666666664 	 
cycle : 10 	 Accuracy :58.333333333333336 	 
Cycle: 11 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 12 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 13 	 Accuracy :62.5 	 
cycle : 14 	 Accuracy :66.66666666666666 	 
Cycle: 15 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 16 	 Accuracy :70.83333333333334 	 
Cycle: 17 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 18 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
cycle : 19 	 Accuracy :79.16666666666666 	 
cycle : 20 	 Accuracy :75 	 
Cycle: 21 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 22 	 Accuracy :70.83333333333334 	 
cycle : 23 	 Accuracy :75 	 
Cycle: 24 	 Saturated Accuracy : 75 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 75 	 Number of times repeated 2
cycle : 26 	 Accuracy :79.16666666666666 	 
cycle : 27 	 Accuracy :75 	 
Cycle: 28 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 29 	 Accuracy :70.83333333333334 	 
cycle : 30 	 Accuracy :83.33333333333334 	 
cycle : 31 	 Accuracy :79.16666666666666 	 
cycle : 32 	 Accuracy :75 	 
cycle : 33 	 Accuracy :70.83333333333334 	 
cycle : 34 	 Accuracy :79.16666666666666 	 
cycle : 35 	 Accuracy :87.5 	 
cycle : 36 	 Accuracy :75 	 
Cycle: 37 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 38 	 Accuracy :83.33333333333334 	 
cycle : 39 	 Accuracy :75 	 
cycle : 40 	 Accuracy :79.16666666666666 	 
cycle : 41 	 Accuracy :83.33333333333334 	 
Cycle: 42 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 43 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 44 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 45 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
cycle : 46 	 Accuracy :87.5 	 
cycle : 47 	 Accuracy :83.33333333333334 	 
Cycle: 48 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 49 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 50 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 51 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
cycle : 52 	 Accuracy :91.66666666666666 	 
cycle : 53 	 Accuracy :87.5 	 
Cycle: 54 	 Saturated Accuracy : 87.5 	 Number of times repeated 1
cycle : 55 	 Accuracy :83.33333333333334 	 
Cycle: 56 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 57 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 58 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
cycle : 59 	 Accuracy :87.5 	 
Cycle: 60 	 Saturated Accuracy : 87.5 	 Number of times repeated 1
Cycle: 61 	 Saturated Accuracy : 87.5 	 Number of times repeated 2
Cycle: 62 	 Saturated Accuracy : 87.5 	 Number of times repeated 3
cycle : 63 	 Accuracy :79.16666666666666 	 
cycle : 64 	 Accuracy :75 	 
cycle : 65 	 Accuracy :87.5 	 
cycle : 66 	 Accuracy :91.66666666666666 	 
cycle : 67 	 Accuracy :87.5 	 
Cycle: 68 	 Saturated Accuracy : 87.5 	 Number of times repeated 1
cycle : 69 	 Accuracy :66.66666666666666 	 
Cycle: 70 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 71 	 Accuracy :79.16666666666666 	 
Cycle: 72 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
cycle : 73 	 Accuracy :83.33333333333334 	 
cycle : 74 	 Accuracy :87.5 	 
Cycle: 75 	 Saturated Accuracy : 87.5 	 Number of times repeated 1
Cycle: 76 	 Saturated Accuracy : 87.5 	 Number of times repeated 2
cycle : 77 	 Accuracy :91.66666666666666 	 
cycle : 78 	 Accuracy :87.5 	 
cycle : 79 	 Accuracy :91.66666666666666 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
Cycle : 5 	  Accuracy:100 	 Number of times repeated 1
Cycle : 6 	  Accuracy:100 	 Number of times repeated 2
Cycle : 7 	  Accuracy:100 	 Number of times repeated 3
Cycle : 8 	  Accuracy:100 	 Number of times repeated 4
Cycle : 9 	  Accuracy:100 	 Number of times repeated 5
Cycle : 10 	  Accuracy:100 	 Number of times repeated 6
Cycle : 11 	  Accuracy:100 	 Number of times repeated 7
Cycle : 12 	  Accuracy:100 	 Number of times repeated 8
Cycle : 13 	  Accuracy:100 	 Number of times repeated 9
Cycle : 14 	  Accuracy:100 	 Number of times repeated 10
Cycle : 15 	  Accuracy:100 	 Number of times repeated 11
Cycle : 16 	  Accuracy:100 	 Number of times repeated 12
Cycle : 17 	  Accuracy:100 	 Number of times repeated 13
Cycle : 18 	  Accuracy:100 	 Number of times repeated 14
Cycle : 19 	  Accuracy:100 	 Number of times repeated 15
Cycle : 20 	  Accuracy:100 	 Number of times repeated 16
Cycle : 21 	  Accuracy:100 	 Number of times repeated 17
Cycle : 22 	  Accuracy:100 	 Number of times repeated 18
Cycle : 23 	  Accuracy:100 	 Number of times repeated 19
Cycle : 24 	  Accuracy:100 	 Number of times repeated 20
Cycle : 25 	  Accuracy:100 	 Number of times repeated 21
Cycle : 26 	  Accuracy:100 	 Number of times repeated 22
Cycle : 27 	  Accuracy:100 	 Number of times repeated 23
Cycle : 28 	  Accuracy:100 	 Number of times repeated 24
Cycle : 29 	  Accuracy:100 	 Number of times repeated 25
Cycle : 30 	  Accuracy:100 	 Number of times repeated 26
Cycle : 31 	  Accuracy:100 	 Number of times repeated 27
Cycle : 32 	  Accuracy:100 	 Number of times repeated 28
Cycle : 33 	  Accuracy:100 	 Number of times repeated 29
Cycle : 34 	  Accuracy:100 	 Number of times repeated 30
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :12.5 	 
cycle : 2 	 Accuracy :25 	 
cycle : 3 	 Accuracy :33.33333333333333 	 
cycle : 4 	 Accuracy :29.166666666666668 	 
Cycle: 5 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 6 	 Accuracy :41.66666666666667 	 
cycle : 7 	 Accuracy :37.5 	 
