TaxiPassangerPredictionExperiment637842401792866881.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :16.666666666666664 	 
Cycle: 1 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
cycle : 2 	 Accuracy :12.5 	 
Cycle: 3 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 4 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
Cycle: 5 	 Saturated Accuracy : 12.5 	 Number of times repeated 3
cycle : 6 	 Accuracy :20.833333333333336 	 
Cycle: 7 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 1
cycle : 8 	 Accuracy :16.666666666666664 	 
cycle : 9 	 Accuracy :20.833333333333336 	 
cycle : 10 	 Accuracy :29.166666666666668 	 
cycle : 11 	 Accuracy :20.833333333333336 	 
cycle : 12 	 Accuracy :25 	 
cycle : 13 	 Accuracy :20.833333333333336 	 
cycle : 14 	 Accuracy :25 	 
Cycle: 15 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 16 	 Accuracy :20.833333333333336 	 
cycle : 17 	 Accuracy :25 	 
Cycle: 18 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 19 	 Accuracy :29.166666666666668 	 
cycle : 20 	 Accuracy :25 	 
cycle : 21 	 Accuracy :29.166666666666668 	 
cycle : 22 	 Accuracy :25 	 
Cycle: 23 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 24 	 Accuracy :29.166666666666668 	 
cycle : 25 	 Accuracy :33.33333333333333 	 
cycle : 26 	 Accuracy :37.5 	 
cycle : 27 	 Accuracy :33.33333333333333 	 
cycle : 28 	 Accuracy :37.5 	 
Cycle: 29 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 30 	 Accuracy :33.33333333333333 	 
cycle : 31 	 Accuracy :37.5 	 
Cycle: 32 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 33 	 Accuracy :41.66666666666667 	 
Cycle: 34 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 35 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 36 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
Cycle: 37 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 4
cycle : 38 	 Accuracy :37.5 	 
cycle : 39 	 Accuracy :41.66666666666667 	 
Cycle: 40 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 41 	 Accuracy :37.5 	 
Cycle: 42 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 43 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
Cycle: 44 	 Saturated Accuracy : 37.5 	 Number of times repeated 3
Cycle: 45 	 Saturated Accuracy : 37.5 	 Number of times repeated 4
Cycle: 46 	 Saturated Accuracy : 37.5 	 Number of times repeated 5
Cycle: 47 	 Saturated Accuracy : 37.5 	 Number of times repeated 6
Cycle: 48 	 Saturated Accuracy : 37.5 	 Number of times repeated 7
cycle : 49 	 Accuracy :33.33333333333333 	 
cycle : 50 	 Accuracy :45.83333333333333 	 
cycle : 51 	 Accuracy :37.5 	 
cycle : 52 	 Accuracy :41.66666666666667 	 
Cycle: 53 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 54 	 Accuracy :37.5 	 
cycle : 55 	 Accuracy :45.83333333333333 	 
Cycle: 56 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 57 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 58 	 Accuracy :41.66666666666667 	 
cycle : 59 	 Accuracy :50 	 
cycle : 60 	 Accuracy :41.66666666666667 	 
cycle : 61 	 Accuracy :45.83333333333333 	 
cycle : 62 	 Accuracy :54.166666666666664 	 
cycle : 63 	 Accuracy :41.66666666666667 	 
cycle : 64 	 Accuracy :50 	 
cycle : 65 	 Accuracy :45.83333333333333 	 
cycle : 66 	 Accuracy :50 	 
cycle : 67 	 Accuracy :41.66666666666667 	 
cycle : 68 	 Accuracy :54.166666666666664 	 
cycle : 69 	 Accuracy :45.83333333333333 	 
Cycle: 70 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 71 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 72 	 Accuracy :50 	 
cycle : 73 	 Accuracy :41.66666666666667 	 
Cycle: 74 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 75 	 Accuracy :45.83333333333333 	 
Cycle: 76 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 77 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 78 	 Accuracy :41.66666666666667 	 
Cycle: 79 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
cycle : 60 	 Accuracy :0 	 
cycle : 61 	 Accuracy :0 	 
cycle : 62 	 Accuracy :0 	 
cycle : 63 	 Accuracy :0 	 
cycle : 64 	 Accuracy :0 	 
