TaxiPassangerPredictionExperiment637840229914781259.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :8.333333333333332 	 
cycle : 1 	 Accuracy :12.5 	 
cycle : 2 	 Accuracy :25 	 
cycle : 3 	 Accuracy :41.66666666666667 	 
cycle : 4 	 Accuracy :58.333333333333336 	 
cycle : 5 	 Accuracy :54.166666666666664 	 
Cycle: 6 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 7 	 Accuracy :58.333333333333336 	 
Cycle: 8 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 9 	 Accuracy :66.66666666666666 	 
cycle : 10 	 Accuracy :62.5 	 
cycle : 11 	 Accuracy :79.16666666666666 	 
cycle : 12 	 Accuracy :70.83333333333334 	 
cycle : 13 	 Accuracy :83.33333333333334 	 
cycle : 14 	 Accuracy :75 	 
Cycle: 15 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 16 	 Accuracy :66.66666666666666 	 
cycle : 17 	 Accuracy :62.5 	 
Cycle: 18 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 19 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 20 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
cycle : 21 	 Accuracy :58.333333333333336 	 
Cycle: 22 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 23 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
Cycle: 24 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 3
Cycle: 25 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 4
Cycle: 26 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 5
cycle : 27 	 Accuracy :62.5 	 
Cycle: 28 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 29 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 30 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
cycle : 31 	 Accuracy :66.66666666666666 	 
Cycle: 32 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 33 	 Accuracy :70.83333333333334 	 
Cycle: 34 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 35 	 Accuracy :79.16666666666666 	 
cycle : 36 	 Accuracy :83.33333333333334 	 
Cycle: 37 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 38 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 39 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 40 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
Cycle: 41 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 5
Cycle: 42 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 6
Cycle: 43 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 7
Cycle: 44 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 8
Cycle: 45 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 9
Cycle: 46 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 10
Cycle: 47 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 11
Cycle: 48 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 12
Cycle: 49 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 13
cycle : 50 	 Accuracy :79.16666666666666 	 
cycle : 51 	 Accuracy :83.33333333333334 	 
cycle : 52 	 Accuracy :79.16666666666666 	 
Cycle: 53 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 54 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
Cycle: 55 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 3
Cycle: 56 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 4
Cycle: 57 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 5
Cycle: 58 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 6
Cycle: 59 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 7
Cycle: 60 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 8
