TaxiPassangerPredictionExperiment637841649382827396.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :12.5 	 
cycle : 1 	 Accuracy :20.833333333333336 	 
cycle : 2 	 Accuracy :16.666666666666664 	 
cycle : 3 	 Accuracy :20.833333333333336 	 
cycle : 4 	 Accuracy :8.333333333333332 	 
cycle : 5 	 Accuracy :16.666666666666664 	 
cycle : 6 	 Accuracy :12.5 	 
cycle : 7 	 Accuracy :16.666666666666664 	 
Cycle: 8 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 2
Cycle: 10 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 3
Cycle: 11 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 4
cycle : 12 	 Accuracy :29.166666666666668 	 
cycle : 13 	 Accuracy :25 	 
Cycle: 14 	 Saturated Accuracy : 25 	 Number of times repeated 1
Cycle: 15 	 Saturated Accuracy : 25 	 Number of times repeated 2
Cycle: 16 	 Saturated Accuracy : 25 	 Number of times repeated 3
cycle : 17 	 Accuracy :29.166666666666668 	 
Cycle: 18 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 19 	 Accuracy :37.5 	 
cycle : 20 	 Accuracy :41.66666666666667 	 
cycle : 21 	 Accuracy :37.5 	 
cycle : 22 	 Accuracy :41.66666666666667 	 
Cycle: 23 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 24 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 25 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
cycle : 26 	 Accuracy :45.83333333333333 	 
cycle : 27 	 Accuracy :41.66666666666667 	 
cycle : 28 	 Accuracy :54.166666666666664 	 
cycle : 29 	 Accuracy :50 	 
Cycle: 30 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 31 	 Saturated Accuracy : 50 	 Number of times repeated 2
cycle : 32 	 Accuracy :45.83333333333333 	 
cycle : 33 	 Accuracy :50 	 
Cycle: 34 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 35 	 Accuracy :41.66666666666667 	 
cycle : 36 	 Accuracy :54.166666666666664 	 
cycle : 37 	 Accuracy :50 	 
cycle : 38 	 Accuracy :54.166666666666664 	 
cycle : 39 	 Accuracy :62.5 	 
cycle : 40 	 Accuracy :54.166666666666664 	 
cycle : 41 	 Accuracy :58.333333333333336 	 
cycle : 42 	 Accuracy :62.5 	 
Cycle: 43 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 44 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
cycle : 45 	 Accuracy :66.66666666666666 	 
cycle : 46 	 Accuracy :62.5 	 
cycle : 47 	 Accuracy :66.66666666666666 	 
cycle : 48 	 Accuracy :62.5 	 
Cycle: 49 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 50 	 Accuracy :58.333333333333336 	 
cycle : 51 	 Accuracy :75 	 
cycle : 52 	 Accuracy :70.83333333333334 	 
cycle : 53 	 Accuracy :58.333333333333336 	 
Cycle: 54 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 55 	 Accuracy :54.166666666666664 	 
Cycle: 56 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
Cycle: 57 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 2
Cycle: 58 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 3
cycle : 59 	 Accuracy :58.333333333333336 	 
Cycle: 60 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 61 	 Accuracy :54.166666666666664 	 
cycle : 62 	 Accuracy :50 	 
cycle : 63 	 Accuracy :54.166666666666664 	 
Cycle: 64 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
Cycle: 65 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 2
cycle : 66 	 Accuracy :58.333333333333336 	 
Cycle: 67 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 68 	 Accuracy :62.5 	 
Cycle: 69 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 70 	 Accuracy :58.333333333333336 	 
Cycle: 71 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 72 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 73 	 Accuracy :62.5 	 
Cycle: 74 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 75 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
cycle : 76 	 Accuracy :66.66666666666666 	 
cycle : 77 	 Accuracy :62.5 	 
cycle : 78 	 Accuracy :58.333333333333336 	 
cycle : 79 	 Accuracy :66.66666666666666 	 
cycle : 80 	 Accuracy :58.333333333333336 	 
Cycle: 81 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 82 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
Cycle: 83 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 3
Cycle: 84 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 4
Cycle: 85 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 5
cycle : 86 	 Accuracy :66.66666666666666 	 
Cycle: 87 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 88 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 89 	 Accuracy :62.5 	 
cycle : 90 	 Accuracy :58.333333333333336 	 
Cycle: 91 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 92 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
Cycle: 93 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 3
Cycle: 94 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 4
cycle : 95 	 Accuracy :62.5 	 
cycle : 96 	 Accuracy :58.333333333333336 	 
cycle : 97 	 Accuracy :62.5 	 
cycle : 98 	 Accuracy :58.333333333333336 	 
Cycle: 99 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 100 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 101 	 Accuracy :66.66666666666666 	 
Cycle: 102 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 103 	 Accuracy :62.5 	 
Cycle: 104 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 105 	 Accuracy :66.66666666666666 	 
Cycle: 106 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 107 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 108 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
Cycle: 109 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 4
cycle : 110 	 Accuracy :62.5 	 
cycle : 111 	 Accuracy :66.66666666666666 	 
Cycle: 112 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 113 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 114 	 Accuracy :70.83333333333334 	 
cycle : 115 	 Accuracy :75 	 
Cycle: 116 	 Saturated Accuracy : 75 	 Number of times repeated 1
Cycle: 117 	 Saturated Accuracy : 75 	 Number of times repeated 2
Cycle: 118 	 Saturated Accuracy : 75 	 Number of times repeated 3
cycle : 119 	 Accuracy :70.83333333333334 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
Cycle : 5 	  Accuracy:100 	 Number of times repeated 1
cycle : 6 	 Accuracy :0 	 
Cycle : 7 	  Accuracy:100 	 Number of times repeated 1
