TaxiPassangerPredictionExperiment637841874184042272.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :8.333333333333332 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :50 	 
cycle : 3 	 Accuracy :54.166666666666664 	 
cycle : 4 	 Accuracy :58.333333333333336 	 
Cycle: 5 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 7 	 Accuracy :62.5 	 
cycle : 8 	 Accuracy :54.166666666666664 	 
cycle : 9 	 Accuracy :58.333333333333336 	 
cycle : 10 	 Accuracy :62.5 	 
cycle : 11 	 Accuracy :70.83333333333334 	 
cycle : 12 	 Accuracy :66.66666666666666 	 
Cycle: 13 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 14 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 15 	 Accuracy :70.83333333333334 	 
Cycle: 16 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 17 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 18 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
cycle : 19 	 Accuracy :58.333333333333336 	 
cycle : 20 	 Accuracy :54.166666666666664 	 
cycle : 21 	 Accuracy :70.83333333333334 	 
cycle : 22 	 Accuracy :58.333333333333336 	 
cycle : 23 	 Accuracy :70.83333333333334 	 
cycle : 24 	 Accuracy :66.66666666666666 	 
cycle : 25 	 Accuracy :50 	 
cycle : 26 	 Accuracy :45.83333333333333 	 
cycle : 27 	 Accuracy :25 	 
cycle : 28 	 Accuracy :62.5 	 
Cycle: 29 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 30 	 Accuracy :58.333333333333336 	 
Cycle: 31 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 32 	 Accuracy :62.5 	 
cycle : 33 	 Accuracy :54.166666666666664 	 
cycle : 34 	 Accuracy :58.333333333333336 	 
cycle : 35 	 Accuracy :54.166666666666664 	 
cycle : 36 	 Accuracy :50 	 
cycle : 37 	 Accuracy :58.333333333333336 	 
Cycle: 38 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 39 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 40 	 Accuracy :66.66666666666666 	 
cycle : 41 	 Accuracy :62.5 	 
cycle : 42 	 Accuracy :58.333333333333336 	 
cycle : 43 	 Accuracy :62.5 	 
Cycle: 44 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 46 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
Cycle: 47 	 Saturated Accuracy : 62.5 	 Number of times repeated 4
cycle : 48 	 Accuracy :54.166666666666664 	 
cycle : 49 	 Accuracy :66.66666666666666 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
Cycle : 5 	  Accuracy:100 	 Number of times repeated 1
cycle : 6 	 Accuracy :0 	 
Cycle : 7 	  Accuracy:100 	 Number of times repeated 1
cycle : 8 	 Accuracy :0 	 
Cycle : 9 	  Accuracy:100 	 Number of times repeated 1
cycle : 10 	 Accuracy :0 	 
Cycle : 11 	  Accuracy:100 	 Number of times repeated 1
cycle : 12 	 Accuracy :0 	 
Cycle : 13 	  Accuracy:100 	 Number of times repeated 1
Cycle : 14 	  Accuracy:100 	 Number of times repeated 2
cycle : 15 	 Accuracy :0 	 
Cycle : 16 	  Accuracy:100 	 Number of times repeated 1
Cycle : 17 	  Accuracy:100 	 Number of times repeated 2
cycle : 18 	 Accuracy :0 	 
Cycle : 19 	  Accuracy:100 	 Number of times repeated 1
Cycle : 20 	  Accuracy:100 	 Number of times repeated 2
cycle : 21 	 Accuracy :0 	 
Cycle : 22 	  Accuracy:100 	 Number of times repeated 1
Cycle : 23 	  Accuracy:100 	 Number of times repeated 2
cycle : 24 	 Accuracy :0 	 
Cycle : 25 	  Accuracy:100 	 Number of times repeated 1
Cycle : 26 	  Accuracy:100 	 Number of times repeated 2
Cycle : 27 	  Accuracy:100 	 Number of times repeated 3
cycle : 28 	 Accuracy :0 	 
Cycle : 29 	  Accuracy:100 	 Number of times repeated 1
Cycle : 30 	  Accuracy:100 	 Number of times repeated 2
Cycle : 31 	  Accuracy:100 	 Number of times repeated 3
cycle : 32 	 Accuracy :0 	 
Cycle : 33 	  Accuracy:100 	 Number of times repeated 1
Cycle : 34 	  Accuracy:100 	 Number of times repeated 2
Cycle : 35 	  Accuracy:100 	 Number of times repeated 3
cycle : 36 	 Accuracy :0 	 
Cycle : 37 	  Accuracy:100 	 Number of times repeated 1
Cycle : 38 	  Accuracy:100 	 Number of times repeated 2
Cycle : 39 	  Accuracy:100 	 Number of times repeated 3
cycle : 40 	 Accuracy :0 	 
Cycle : 41 	  Accuracy:100 	 Number of times repeated 1
Cycle : 42 	  Accuracy:100 	 Number of times repeated 2
Cycle : 43 	  Accuracy:100 	 Number of times repeated 3
Cycle : 44 	  Accuracy:100 	 Number of times repeated 4
Cycle : 45 	  Accuracy:100 	 Number of times repeated 5
Cycle : 46 	  Accuracy:100 	 Number of times repeated 6
Cycle : 47 	  Accuracy:100 	 Number of times repeated 7
Cycle : 48 	  Accuracy:100 	 Number of times repeated 8
Cycle : 49 	  Accuracy:100 	 Number of times repeated 9
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :29.166666666666668 	 
cycle : 2 	 Accuracy :41.66666666666667 	 
Cycle: 3 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 4 	 Accuracy :25 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
cycle : 6 	 Accuracy :25 	 
Cycle: 7 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 8 	 Accuracy :33.33333333333333 	 
cycle : 9 	 Accuracy :37.5 	 
cycle : 10 	 Accuracy :50 	 
Cycle: 11 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 12 	 Accuracy :62.5 	 
cycle : 13 	 Accuracy :58.333333333333336 	 
cycle : 14 	 Accuracy :54.166666666666664 	 
Cycle: 15 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 16 	 Accuracy :50 	 
Cycle: 17 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 18 	 Accuracy :58.333333333333336 	 
cycle : 19 	 Accuracy :54.166666666666664 	 
cycle : 20 	 Accuracy :58.333333333333336 	 
Cycle: 21 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 22 	 Accuracy :54.166666666666664 	 
Cycle: 23 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 24 	 Accuracy :58.333333333333336 	 
Cycle: 25 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 2
cycle : 27 	 Accuracy :62.5 	 
Cycle: 28 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 29 	 Accuracy :66.66666666666666 	 
Cycle: 30 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 31 	 Accuracy :70.83333333333334 	 
Cycle: 32 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 33 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 34 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
Cycle: 35 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 4
Cycle: 36 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 5
Cycle: 37 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 6
Cycle: 38 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 7
cycle : 39 	 Accuracy :75 	 
cycle : 40 	 Accuracy :70.83333333333334 	 
Cycle: 41 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 42 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 43 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
